"uuid:ID","description","instanceType","name","label","id"
"cbced5c7-2ee5-4d68-b897-9df09c6c8fae","Screening encounter","Encounter","E1","Screening 1","Encounter_1"
"8998314c-9d56-4225-8b6a-849b702a17e6","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Screening 2","Encounter_2"
"4491611a-9d05-4acd-8dd3-9e3c62653150","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Baseline","Encounter_3"
"42322d48-4c07-4708-bc3f-bd4d1f3d0b8f","Day 14","Encounter","E4","Week 2","Encounter_4"
"869e1db5-3584-4aa7-9dfe-791b123ccd77","Day 28","Encounter","E5","Week 4","Encounter_5"
"8312dec6-d0ac-4e3f-ae38-48c8ff020bd9","Day 42","Encounter","E7","Week 6","Encounter_6"
"9d6b3ab3-2397-444c-b1e4-b7f67f4facf6","Day 56","Encounter","E8","Week 8","Encounter_7"
"5fd81e8e-0bac-4583-be9e-52972aee9b7c","Day 84","Encounter","E9","Week 12","Encounter_8"
"4a96f2cc-724c-444b-b2e4-65da76fb1fd1","Day 112","Encounter","E10","Week 16","Encounter_9"
"6f57487b-068b-4ea0-bb1a-1b8c1042e34d","Day 140","Encounter","E11","Week 20","Encounter_10"
"03d6f1d4-2561-4f05-8d5b-afc65ceb5599","Day 168","Encounter","E12","Week 24","Encounter_11"
"c3ad3aac-810f-41b5-85e5-63ac78f0c403","Day 182","Encounter","E13","Week 26","Encounter_12"
