"valueLabel","uuid:ID","instanceType","description","windowLabel","label","id","name","value","windowLower","windowUpper"
"2 weeks","618aaf5a-2691-4c10-9c0f-c1601fdf93bc","Timing","Screening timing","","Screening","Timing_1","TIM1","P2W","",""
"2 days","71b49148-4a92-41d0-9e66-1d72faa21107","Timing","Pre dose timing","-4..0 hours","Pre dose","Timing_2","TIM2","P2D","PT4H","PT0H"
"1 Day","0c558797-1919-46b7-b645-9b8e68fd6113","Timing","Dosing anchor","","Dosing","Timing_3","TIM3","P1D","",""
"2 Weeks","e00720c1-9874-4e83-97c1-315c9bd1e4e5","Timing","Week 2 timing","-3..3 days","Week 2","Timing_4","TIM4","P2W","P3D","P3D"
"4 Weeks","ef5ba0d4-d458-4226-bd48-5024e89ec691","Timing","Week 4 timing","-3..3 days","Week 4","Timing_5","TIM5","P4W","P3D","P3D"
"6 Weeks","e3e19ede-e163-4e22-a696-af587db5b81c","Timing","Week 6 timing","-3..3 days","Week 6","Timing_6","TIM6","P6W","P3D","P3D"
"8 Weeks","05c7713e-c0dd-4e31-af3f-e53a6ce9f093","Timing","Week 8 timing","-3..3 days","Week 8","Timing_7","TIM7","P8W","P3D","P3D"
"12 Weeks","89092173-d815-477a-be95-04d895b4f7d7","Timing","Week 12 timing","-4..4 days","Week 12","Timing_9","TIM9","P12W","P4D","P4D"
"16 Weeks","80113a56-6483-4f26-ab96-940e2cecb681","Timing","Week 16 timing","-4..4 days","Week 16","Timing_11","TIM11","P16W","P4D","P4D"
"20 Weeks","8fabae60-1521-4563-a20d-2f18a9e95bed","Timing","Week 20 timing","-4..4 days","Week 20","Timing_13","TIM13","P20W","P4D","P4D"
"24 Weeks","0ab74cd0-cfdf-465f-b96b-de0c19290ad6","Timing","Week 24 timing","-4..4 days","Week 24","Timing_15","TIM15","P24W","P4D","P4D"
"26 Weeks","9187104a-0ea4-411c-ad08-cdc6c33eebcf","Timing","Week 26 timing","-3..3 days","Week 26","Timing_16","TIM16","P26W","P3D","P3D"
"2 Weeks","88d2c768-ca8f-4487-a0bc-d042e96b404c","Timing","Week 8 at home timing","","Week 8 Home","Timing_8","TIM8","P2W","",""
"2 Weeks","a59dfab9-5341-4cab-bff6-e3199ed6306c","Timing","Week 12 at home timing","","Week 12 Home","Timing_10","TIM10","P2W","",""
"2 Weeks","28e2aae2-209d-49b8-813b-423d89940512","Timing","Week 16 at home timing","","Week 16 Home","Timing_12","TIM12","P2W","",""
"2 Weeks","6fdb9c73-abd2-489b-95f0-9e5365b0b856","Timing","Week 20 at home timing","","Week 20 Home","Timing_14","TIM14","P2W","",""
"1 Day","13c2af52-27ce-4b0a-ab42-e4f842f959d1","Timing","Adverse Event","","Adverse Event","Timing_17","TIM17","P1D","",""
"1 Day","bef38941-cceb-4bea-8e41-e06162873525","Timing","Early Termination","","Early Termination","Timing_18","TIM18","P1D","",""
"0 mins","92de34b1-95bd-425b-aecf-bbb212c37b2b","Timing","Supine","","Supine","Timing_19","TIM19","PT0M","",""
"5 mins","62418028-260f-44c9-bf99-1ebb91a36f7f","Timing","VS while supine","","VS while supine","Timing_20","TIM20","PT5M","",""
"0 min","40ac88ab-b5e2-40d6-87b3-336752d3324b","Timing","Standing","","Standing","Timing_21","TIM21","PT0M","",""
"1 min","d88128e5-5240-4707-9836-7c1b206556c9","Timing","VS while standing","","VS while standing","Timing_22","TIM22","PT1M","",""
"0 min","d565b443-257f-4746-bc49-401cda0bb091","Timing","Standing","","Standing","Timing_23","TIM23","PT0M","",""
"2 min","5b218a55-e876-473c-ac80-60754b0c0a6b","Timing","VS while standing","","VS while standing","Timing_24","TIM24","PT2M","",""
