"label","name","uuid:ID","id","reference","synonyms","instanceType"
"Sex","Sex","0257299d-f953-4543-91b1-07c0e17409ac","BiomedicalConcept_20","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept"
"Race","Race","15abc2ac-3ac9-4d0a-8952-388c3b5c192f","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept"
"Temperature","Temperature","7ac55ec6-f76f-42c0-b239-a32cd3efc6be","BiomedicalConcept_22","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept"
"Weight","Weight","f2e4c115-c99e-44f8-bb2e-eae31b81391a","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept"
"Height","Height","c3b1735c-1a5e-47bb-ad58-c324757bd979","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","b9b445be-4659-487a-98b4-3d7d2beedcde","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept"
"Albumin Presence in Urine","Albumin Presence in Urine","8f54fad9-4800-4898-abc9-6450ff97c85b","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","5c5f7a68-821e-4171-850d-adce77d087f1","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","4416e1cb-5988-4e34-8c38-4de37e937ae8","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","6b5c7a75-363a-4c79-8246-980921664149","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept"
"Potassium Concentration in Urine","Potassium Concentration in Urine","3971d3a2-12ac-43c4-aee3-4d1982649ca3","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept"
"Sodium Concentration in Urine","Sodium Concentration in Urine","7227d283-e2dc-43cc-963e-9842563e79eb","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","268be11a-fe10-4274-a40b-d0907f469cb1","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept"
"Adverse Event Prespecified","Adverse Event Prespecified","59a16758-2050-4a87-bafd-f3abaa883284","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","39cecd34-54d9-4cca-bc76-69c364fcb2a0","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","4eeb6d90-a53e-4a8f-9c95-2422dfa0f369","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept"
"Temperature","Temperature","854c1e2e-edaa-4175-bbc6-4db10abbf4ed","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept"
"Weight","Weight","6428361e-581c-4010-a1d3-e9b916a01cff","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept"
"Height","Height","fd8b29bb-b132-44d2-9959-59fc2078c7e1","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","bcba75f6-3d5e-4950-b06f-0f6d2d7987c2","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept"
"Albumin Presence in Urine","Albumin Presence in Urine","4114aa1a-f6a5-4035-a0d8-3708ba05e897","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","f727c9f5-583e-4c28-b35f-ba41a87eedd4","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","5571f744-a41e-4701-9113-17238e102a20","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","51fa147f-f2c6-4cd8-b960-9c4ca35dd142","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept"
"Potassium Concentration in Urine","Potassium Concentration in Urine","701306fe-cbe0-40a3-a6b7-c0e53e78de11","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept"
"Sodium Concentration in Urine","Sodium Concentration in Urine","a203a454-7907-4d9e-85d3-a6393acd8d7a","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept"
