"instanceType","uuid:ID","id","description","label","name"
"Activity","51f17fcd-93d8-484a-a757-3c0f945a65fb","Activity_1","","Informed consent","Informed consent"
"Activity","8e4d72d9-181c-4cf9-8b07-6523edb76226","Activity_2","","Inclusion and exclusion criteria","Inclusion/exclusion criteria"
"Activity","ee60eb52-d14a-4d2b-9a89-47a2a842cf42","Activity_3","","Patient number assigned","Patient number assigned"
"Activity","b74700fa-28b5-48f4-bed3-3ef36e8f7b85","Activity_4","","Demographics","Demographics"
"Activity","5100e6bc-9835-48e7-b541-eda0685bee2d","Activity_5","","Hachinski Ischemic Scale","Hachinski"
"Activity","5c253faf-0df7-48b0-ada3-002ea6bbfda2","Activity_6","","MMSE","MMSE"
"Activity","e5bf4c7c-b91b-4337-8631-1eb5319e4784","Activity_7","","Physical examination","Physical examination"
"Activity","ac1286b0-f523-47b6-ba66-81a25c7e8ac5","Activity_8","","Medical history","Medical history"
"Activity","a983921b-d07f-436a-818e-5042825f05b5","Activity_9","","Habits","Habits"
"Activity","c55d0f7c-04ca-4728-a3fa-255959a42a0a","Activity_10","","Chest X-ray","Chest X-ray"
"Activity","cefcd92b-7c19-41a3-8b48-3a6d249ce958","Activity_11","","Apo E genotyping","Apo E genotyping"
"Activity","16fa2789-7d06-4e68-98f7-73c034397b3c","Activity_12","","Patient randomised","Patient randomised"
"Activity","51302133-283a-4a10-8146-18f6bf2dd210","Activity_13","","Vital Signs and Temperature","Vital signs / Temperature"
"Activity","6c4213fb-49b6-4f7d-b33a-cda29093b42c","Activity_14","","Ambulatory ECG placed","Ambulatory ECG placed"
"Activity","e3908aa2-ebcd-4868-aecc-8fc037c9d9ef","Activity_15","","Ambulatory ECG removed","Ambulatory ECG removed"
"Activity","c5c6fe22-2d91-4e62-86bb-e720873cf663","Activity_16","","ECG","ECG"
"Activity","d6114c5c-a990-4e82-ad1c-38cc346438d7","Activity_17","","Placebo TTS test","Placebo TTS test"
"Activity","1996679d-7efa-4022-b481-3badda6870fa","Activity_18","","CT scan","CT scan"
"Activity","ea801f0e-37a7-4ad1-be34-f20000786934","Activity_19","","Concomitant medications","Concomitant medications"
"Activity","ca51c0d4-48c4-45c0-8afd-ef052051cceb","Activity_20","","Hematology","Hematology"
"Activity","ba88bc57-5954-4994-8ac3-5a5a54c366f3","Activity_21","","Chemistry","Chemistry"
"Activity","27e7dc6e-ce95-4bde-9cf4-b2b02ac77a9c","Activity_22","","Uninalysis","Uninalysis"
"Activity","cb27ba8e-bddd-4a67-8346-5a18ff474eb2","Activity_23","","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)"
"Activity","66c35511-5a51-4ed0-a57b-9a139998462b","Activity_24","","Hemoglobin A1C","Hemoglobin A1C"
"Activity","c86255e1-7da9-4a6e-aee8-07e6ee55ee34","Activity_25","","Study drug record , Medications dispensed, Medications returned","Study drug"
"Activity","686778df-1233-4a51-b1bd-fed7864b01fb","Activity_26","","TTS Acceptability Survey","TTS Acceptability Survey"
"Activity","0f425a2b-e9d3-45f2-8007-c206813cb907","Activity_27","","ADAS-Cog","ADAS-Cog"
"Activity","bb938c09-2845-40ef-88de-e9fb05c287a1","Activity_28","","CIBIC+","CIBIC+"
"Activity","16539be7-d0eb-4302-acc4-5094d8ae2c05","Activity_29","","DAD","DAD"
"Activity","b25f7a1c-037d-490d-a455-ac01c5fd0c63","Activity_30","","NPI-X","NPI-X"
"Activity","d2a9ce91-7c32-481c-aa93-3386ce8e631b","Activity_31","","Adverse events","Adverse events"
"Activity","d559f13e-026b-4552-b052-07ac57a5af17","Activity_32","","Check adverse events","Check adverse events"
"Activity","a6a0e9f7-99c6-480e-bd9a-e59f60f76bcf","Activity_33","","Subject supine","Supine"
"Activity","8afb70e1-3ae1-4529-b187-069f47ac01c9","Activity_34","","Vital signs while supine","Vital Signs Supine"
"Activity","46d22d51-e9f3-4915-a1e6-80eed896cbb3","Activity_35","","Subject Standing","Stand"
"Activity","986f7451-c6c8-45ab-98de-40a09e9af34e","Activity_36","","Vital signs while standing","Vital Signs Standing"
