"sectionTitle","instanceType","text","name","sectionNumber","id","uuid:ID"
"Root","NarrativeContent","","ROOT","0","NarrativeContent_1","b2cddc35-6645-4f55-86f9-da6c8118886f"
"TITLE PAGE","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","0","NarrativeContent_2","0bbe0693-6175-4604-b055-6ed09b218c04"
"PROTOCOL SUMMARY","NarrativeContent","<div></div>","SECTION 1","1","NarrativeContent_3","2c614f88-89bc-49ed-8664-77f292728350"
"Protocol Synopsis","NarrativeContent","<div></div>","SECTION 1.1","1.1","NarrativeContent_4","3e17e1a7-7234-48b3-bd01-595f4f1226a3"
"Trial Schema","NarrativeContent","<div></div>","SECTION 1.2","1.2","NarrativeContent_5","d5e8692e-25e6-46a5-9a80-598a6f5b7a2c"
"Schedule of Activities","NarrativeContent","<div></div>","SECTION 1.3","1.3","NarrativeContent_6","54ca7f8a-1565-41ee-a3a9-11ec88799be4"
"INTRODUCTION","NarrativeContent","<div></div>","SECTION 2","2","NarrativeContent_7","21332dea-cdd7-4fda-86a5-caa532038ddb"
"Purpose of Trial","NarrativeContent","<div></div>","SECTION 2.1","2.1","NarrativeContent_8","d3f91549-c54a-44df-b263-1517ba0e8fe7"
"Summary of Benefits and Risks","NarrativeContent","<div></div>","SECTION 2.2","2.2","NarrativeContent_9","627737b6-c06e-4ed1-802a-dc89be4f9f89"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent","<div></div>","SECTION 3","3","NarrativeContent_10","51d1c548-47a5-43d0-98d3-03051d4f4e17"
"Primary Objectives","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","3.1","NarrativeContent_11","9610b332-a7a5-4a49-987d-7ac82f04e987"
"TRIAL DESIGN","NarrativeContent","<div></div>","SECTION 4","4","NarrativeContent_12","702cef9b-40e8-49e1-aa82-9dd89f7a853b"
"Description of Trial Design","NarrativeContent","<div></div>","SECTION 4.1","4.1","NarrativeContent_13","2161c2fe-3d32-41d1-85bd-1e209fdb0ff3"
"Participant Input into Design","NarrativeContent","<div></div>","SECTION 4.1.1","4.1.1","NarrativeContent_14","8ac35b8f-c28d-4ca8-923e-62cb2ea13443"
"Rationale for Trial Design","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","4.2","NarrativeContent_15","8f6169b9-7127-4139-86b1-39917ae7a25a"
"Rationale for Comparator","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","4.2.1","NarrativeContent_16","e6f6342c-4d53-4ab1-a7a1-37f28b07e26b"
"Rationale for Adaptive or Novel Trial Design","NarrativeContent","<div></div>","SECTION 4.2.2","4.2.2","NarrativeContent_17","d15d89c5-9065-4fd8-bdd1-e72336c7a7d2"
"Other Trial Design Considerations","NarrativeContent","<div></div>","SECTION 4.2.3","4.2.3","NarrativeContent_18","5d64da50-0d4c-40ff-8428-f8a9e96aab46"
"Access to Trial Intervention After End of Trial","NarrativeContent","<div></div>","SECTION 4.3","4.3","NarrativeContent_19","c6ae8188-971d-4ea4-8604-3a836947257a"
"Start of Trial and End of Trial","NarrativeContent","<div></div>","SECTION 4.4","4.4","NarrativeContent_20","2ad7b639-2a47-4d11-907d-9a5615d21188"
"TRIAL POPULATION","NarrativeContent","<div></div>","SECTION 5","5","NarrativeContent_21","73d9134e-9809-4262-88e9-ba2a38e1287f"
"Selection of Trial Population","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","5.1","NarrativeContent_22","298fa5c8-886a-48c6-91db-93ac98b9edc5"
"Rationale for Trial Population","NarrativeContent","<div></div>","SECTION 5.2","5.2","NarrativeContent_23","bb5a147d-6b52-4c06-8806-a9ee74113eda"
"Inclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","5.3","NarrativeContent_24","c70736d6-910c-4bc1-96e2-75338ecc6304"
"Exclusion Criteria","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","5.4","NarrativeContent_25","3d0a9bc3-1d14-4865-ae9c-94badac722dc"
"Lifestyle Considerations","NarrativeContent","<div></div>","SECTION 5.5","5.5","NarrativeContent_26","f97e806c-5762-48c2-be0d-6fb368bc8267"
