"value","id","label","description","windowLower","windowUpper","name","uuid:ID","windowLabel","instanceType","valueLabel"
"P2W","Timing_1","Screening","Screening timing","","","TIM1","420a7740-1657-4202-9492-c3f4cef95a00","","Timing","2 weeks"
"P2D","Timing_2","Pre dose","Pre dose timing","PT4H","PT0H","TIM2","0eb038da-63a1-42a8-a800-233242b857f0","-4..0 hours","Timing","2 days"
"P1D","Timing_3","Dosing","Dosing anchor","","","TIM3","7af58e95-ca39-4931-9508-f28555ed798f","","Timing","1 Day"
"P2W","Timing_4","Week 2","Week 2 timing","P3D","P3D","TIM4","edf76c45-5feb-45ad-9abf-478707b6e09c","-3..3 days","Timing","2 Weeks"
"P4W","Timing_5","Week 4","Week 4 timing","P3D","P3D","TIM5","1532b015-9540-4419-9aec-bbb5631c8cd3","-3..3 days","Timing","4 Weeks"
"P6W","Timing_6","Week 6","Week 6 timing","P3D","P3D","TIM6","d7146162-2ccf-47e0-8cf2-dc47f316b367","-3..3 days","Timing","6 Weeks"
"P8W","Timing_7","Week 8","Week 8 timing","P3D","P3D","TIM7","92fc846e-1415-44e0-ad88-6294a571a929","-3..3 days","Timing","8 Weeks"
"P12W","Timing_9","Week 12","Week 12 timing","P4D","P4D","TIM9","0ece30fb-0a8e-485e-ae60-c8d514df6805","-4..4 days","Timing","12 Weeks"
"P16W","Timing_11","Week 16","Week 16 timing","P4D","P4D","TIM11","ee6ecd54-7e69-4fbb-b0e3-8ed55be46f63","-4..4 days","Timing","16 Weeks"
"P20W","Timing_13","Week 20","Week 20 timing","P4D","P4D","TIM13","c0ac51af-1f16-44f8-ba63-c7fc9292d6fe","-4..4 days","Timing","20 Weeks"
"P24W","Timing_15","Week 24","Week 24 timing","P4D","P4D","TIM15","cbd34409-f70c-47c8-81ac-669425c22853","-4..4 days","Timing","24 Weeks"
"P26W","Timing_16","Week 26","Week 26 timing","P3D","P3D","TIM16","eae75b32-3615-4ed2-a725-3817b8be713f","-3..3 days","Timing","26 Weeks"
"P2W","Timing_8","Week 8 Home","Week 8 at home timing","","","TIM8","a6e327a7-0669-4b53-9edc-551191f52175","","Timing","2 Weeks"
"P2W","Timing_10","Week 12 Home","Week 12 at home timing","","","TIM10","981afe4a-0688-477a-9839-5cb6e89586a5","","Timing","2 Weeks"
"P2W","Timing_12","Week 16 Home","Week 16 at home timing","","","TIM12","7e59c7d1-293c-49f5-a6bb-0b4916eacff2","","Timing","2 Weeks"
"P2W","Timing_14","Week 20 Home","Week 20 at home timing","","","TIM14","64888f02-e89b-4303-b1a6-096e384fadac","","Timing","2 Weeks"
"P1D","Timing_17","Adverse Event","Adverse Event","","","TIM17","e60cc15b-eb08-4dc7-ab26-77243dcac74d","","Timing","1 Day"
"P1D","Timing_18","Early Termination","Early Termination","","","TIM18","f9110559-22f0-4c98-becb-ea2be30c3c27","","Timing","1 Day"
"PT0M","Timing_19","Supine","Supine","","","TIM19","e0710b81-7c55-4759-b95e-30c3c11a8c94","","Timing","0 mins"
"PT5M","Timing_20","VS while supine","VS while supine","","","TIM20","f7fcb554-d426-4225-9558-60ad2db53466","","Timing","5 mins"
"PT0M","Timing_21","Standing","Standing","","","TIM21","d3f4d9d9-0a00-4942-8ee6-35f3b961558a","","Timing","0 min"
"PT1M","Timing_22","VS while standing","VS while standing","","","TIM22","df63caae-b1ee-4e16-b63a-729dfdecbbcf","","Timing","1 min"
"PT0M","Timing_23","Standing","Standing","","","TIM23","de54b96f-9f02-435d-8f41-46f3b4f7c41b","","Timing","0 min"
"PT2M","Timing_24","VS while standing","VS while standing","","","TIM24","8e94c44a-ecdd-4c7e-b6b1-1e9c22271218","","Timing","2 min"
