"uuid:ID","synonyms","label","name","reference","instanceType","id"
"e42068e2-8d6e-4b2b-bed4-29d7f84e4527","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","BiomedicalConcept_20"
"f63260ff-0512-4c83-bddc-92e59a8d0d38","","Sex","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","BiomedicalConcept_21"
"ff2d34cc-3ac0-474f-bd0a-b6f53a75838a","['Racial Group']","Race","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","BiomedicalConcept_22"
"a2590f8a-c748-493f-9c8f-80a292d5bb6f","['Temperature', 'Body Temperature']","Temperature","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_23"
"12185bd4-7288-4c05-8ac2-44b63d897a1d","['Weight', 'Body Weight']","Weight","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_24"
"7f0e4fac-fddc-4260-bc07-6430dd8a9fc4","['Height', 'Body Height']","Height","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_25"
"cd3e49ef-88b6-45d6-ac23-fb5cb3b301e0","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_26"
"f38a84d8-a2dc-4f6a-b1df-bb78c2594014","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_27"
"a8fe801b-6cdd-4875-80f4-849c6dee4a36","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_28"
"4c2d7806-7bb5-419d-8329-5ec2a0feca66","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_29"
"ee921491-7475-48a2-b403-cb2f66c60d06","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_30"
"c9be4352-8542-432e-8ebb-99bf176f161e","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_31"
"e90b84d8-6ee4-4146-a1ac-ccfcec56cb35","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_32"
"096ec643-622d-435d-b4eb-927951924814","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","BiomedicalConcept_33"
"2c842414-8aec-4d33-90df-1f65770b0c61","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","BiomedicalConcept_1"
"e049d068-d6cb-4419-a2de-552b05f4edce","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_2"
"dc3c0915-15b8-45d4-b886-da79ce54b690","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_3"
"74072236-9940-48a3-ac8c-98a4a75fad1c","['Temperature', 'Body Temperature']","Temperature","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_4"
"59c05015-e0ef-49d0-8a15-ee3985cf0e71","['Weight', 'Body Weight']","Weight","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_5"
"fc40d28a-60c9-4d7b-9ef1-37dc55163261","['Height', 'Body Height']","Height","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_6"
"02f0b984-875c-43e7-a541-808514457410","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_7"
"da11a577-884e-4e73-abe9-e3ad2f7d3876","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_8"
"9a3caa74-d5e8-4fde-b54a-077a5e7ab54b","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_9"
