"uuid:ID","name","description","windowLabel","valueLabel","windowLower","windowUpper","value","label","instanceType","id"
"6963ba7c-4b96-42b8-80e2-f260552cc9ac","TIM1","Screening timing","","2 weeks","","","P2W","Screening","Timing","Timing_1"
"e108d02b-50b0-465a-944f-cc9e7badc69c","TIM2","Pre dose timing","-4..0 hours","2 days","PT4H","PT0H","P2D","Pre dose","Timing","Timing_2"
"653275dd-460e-4f70-bbbc-0b392121c783","TIM3","Dosing anchor","","1 Day","","","P1D","Dosing","Timing","Timing_3"
"7d57c3a4-ccbd-496c-a01d-f6e325c24d29","TIM4","Week 2 timing","-3..3 days","2 Weeks","P3D","P3D","P2W","Week 2","Timing","Timing_4"
"e2147839-5c41-41a2-a832-966b35b90620","TIM5","Week 4 timing","-3..3 days","4 Weeks","P3D","P3D","P4W","Week 4","Timing","Timing_5"
"847f0af3-ba3f-4413-be88-2d777516621b","TIM6","Week 6 timing","-3..3 days","6 Weeks","P3D","P3D","P6W","Week 6","Timing","Timing_6"
"fb0b0e32-2899-411b-b3b8-b4411295d6b7","TIM7","Week 8 timing","-3..3 days","8 Weeks","P3D","P3D","P8W","Week 8","Timing","Timing_7"
"bb658b56-0b61-4b6d-9dff-98b37eeeb6b1","TIM9","Week 12 timing","-4..4 days","12 Weeks","P4D","P4D","P12W","Week 12","Timing","Timing_9"
"1a3fd214-e2a2-4a06-b760-9c5cf6a5450f","TIM11","Week 16 timing","-4..4 days","16 Weeks","P4D","P4D","P16W","Week 16","Timing","Timing_11"
"82d5a67b-2d8a-48d5-baf1-8692b5f19dfa","TIM13","Week 20 timing","-4..4 days","20 Weeks","P4D","P4D","P20W","Week 20","Timing","Timing_13"
"4defc6ce-d0ce-4fd4-a0f6-a2c13f27cb55","TIM15","Week 24 timing","-4..4 days","24 Weeks","P4D","P4D","P24W","Week 24","Timing","Timing_15"
"f0cea288-708f-4229-801f-8d43744626ba","TIM16","Week 26 timing","-3..3 days","26 Weeks","P3D","P3D","P26W","Week 26","Timing","Timing_16"
"f0aef7a6-193b-40a0-8c6a-19a0181a7530","TIM8","Week 8 at home timing","","2 Weeks","","","P2W","Week 8 Home","Timing","Timing_8"
"b54b78ef-035b-4d91-8289-bb78591fab0d","TIM10","Week 12 at home timing","","2 Weeks","","","P2W","Week 12 Home","Timing","Timing_10"
"0fb15a21-4c78-493e-a8ca-9f24077675ae","TIM12","Week 16 at home timing","","2 Weeks","","","P2W","Week 16 Home","Timing","Timing_12"
"a21e5148-f050-43a9-9646-c09bc3b62fc7","TIM14","Week 20 at home timing","","2 Weeks","","","P2W","Week 20 Home","Timing","Timing_14"
"0323035e-0422-4310-8bdf-1f5a3c0443b1","TIM17","Adverse Event","","1 Day","","","P1D","Adverse Event","Timing","Timing_17"
"0ac5d55a-4cd5-4d3a-b56f-51d263cb5b81","TIM18","Early Termination","","1 Day","","","P1D","Early Termination","Timing","Timing_18"
"f224548d-b6f5-4e1f-a5ab-490a0caa6742","TIM19","Supine","","0 mins","","","PT0M","Supine","Timing","Timing_19"
"c274fd08-e344-4bef-8f77-5504bddae2a3","TIM20","VS while supine","","5 mins","","","PT5M","VS while supine","Timing","Timing_20"
"49c14a12-10d0-47e4-8a8a-795160ca15de","TIM21","Standing","","0 min","","","PT0M","Standing","Timing","Timing_21"
"2245caee-eec6-4b08-bdac-bd0a5d661bcd","TIM22","VS while standing","","1 min","","","PT1M","VS while standing","Timing","Timing_22"
"f2906ba9-e5fa-456c-a0bd-d55ca7e3f39d","TIM23","Standing","","0 min","","","PT0M","Standing","Timing","Timing_23"
"43be0a6e-d800-417b-9e94-4c221b9e4460","TIM24","VS while standing","","2 min","","","PT2M","VS while standing","Timing","Timing_24"
