"text","instanceType","uuid:ID","name","id"
"Subject identifier","TransitionRule","e183b6af-35ed-454d-a327-70aafb7dac5c","ENCOUNTER_START_RULE_1","TransitionRule_1"
"completion of screening activities","TransitionRule","402ba263-9432-4f2c-ba8e-3c7dfee9ef15","ENCOUNTER_START_RULE_1","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","a76577ab-d78e-4905-926a-e535fd8da4f0","ENCOUNTER_START_RULE_2","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","TransitionRule","a8490ee2-982e-417a-95e7-dda3c49618ab","ENCOUNTER_START_RULE_3","TransitionRule_4"
"Radomized","TransitionRule","c465a618-6760-4138-9945-00f217b59b15","ENCOUNTER_START_RULE_3","TransitionRule_5"
"End of treatment","TransitionRule","2007f080-fe13-445c-ac82-25ddec5bddb0","ENCOUNTER_START_RULE_12","TransitionRule_6"
"Informed consent","TransitionRule","48f2a9d5-9f0d-4605-87c5-d787d9c002c2","ELEMENT_START_RULE_1","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","6662d9a4-5975-4aa9-b927-247684cb232e","ELEMENT_END_RULE_1","TransitionRule_8"
"Administration of first dose","TransitionRule","9a3b1f8b-3661-46b3-86fb-dc457d409564","ELEMENT_START_RULE_2","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","TransitionRule","15a03984-8465-4304-b11b-573064d62eac","ELEMENT_START_RULE_7","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","2c86b195-17e0-4ebe-ab58-be94c49a8c20","ELEMENT_END_RULE_7","TransitionRule_15"
"Administration of first dose","TransitionRule","540ec84a-f9b3-472a-a8e2-b8e5aca7c865","ELEMENT_START_RULE_3","TransitionRule_10"
"Randomized","TransitionRule","d56d9adb-e989-4ad8-8e94-82b5b167982f","ELEMENT_START_RULE_4","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","d2d2b939-aa3b-4885-a52c-65d8e6de8890","ELEMENT_START_RULE_5","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","777c9243-fc49-4e91-878a-1855ac59a1c3","ELEMENT_START_RULE_6","TransitionRule_13"
