"description","uuid:ID","id","instanceType","name","label"
"-","d141175f-1057-4060-8633-9599202b55c9","ScheduledActivityInstance_9","ScheduledActivityInstance","SCREEN1","Screen One"
"-","cacf5299-3fcf-4ec6-b628-1b372885f3a0","ScheduledActivityInstance_10","ScheduledActivityInstance","SCREEN2","Screen Two"
"-","7f682b99-4fc1-4130-94b2-1e1716488e5d","ScheduledActivityInstance_11","ScheduledActivityInstance","DOSE","Dose"
"-","c5b52608-dd25-454e-b738-7eed16a8fd59","ScheduledActivityInstance_12","ScheduledActivityInstance","WK2","Week 2"
"-","ce323568-a356-43fa-943c-f9c78b83e671","ScheduledActivityInstance_13","ScheduledActivityInstance","WK4","Week 4"
"-","6b30c4c1-a476-4cf1-942b-c401d283deed","ScheduledActivityInstance_14","ScheduledActivityInstance","WK6","Week 6"
"-","3f7599d9-95d4-4876-9f73-cb223d4657cc","ScheduledActivityInstance_15","ScheduledActivityInstance","WK8","Week 8"
"-","c9c3a6ea-bb17-4cbe-8eb9-2891005483c6","ScheduledActivityInstance_16","ScheduledActivityInstance","WK8N","Week NPI"
"-","872e5aa5-340f-4fa2-8c1b-e9d4e6d16702","ScheduledActivityInstance_17","ScheduledActivityInstance","WK12","Week 12"
"-","2a6f7186-405d-4846-bf9c-171ebf7958b9","ScheduledActivityInstance_18","ScheduledActivityInstance","WK12N","Week 12 NPI"
"-","752289d2-4b75-4f3a-a1a6-43489a11d830","ScheduledActivityInstance_19","ScheduledActivityInstance","WK16","Week 16"
"-","dd94e38d-dd44-4c07-8482-1931132c1486","ScheduledActivityInstance_20","ScheduledActivityInstance","WK16N","Week 16 NPI"
"-","e044516e-8ed3-4491-9b99-07cc81cbe385","ScheduledActivityInstance_21","ScheduledActivityInstance","WK20","Week 20"
"-","95ac333f-f8e1-4283-8ad4-235de959bb8d","ScheduledActivityInstance_22","ScheduledActivityInstance","WK20N","Week 20 NPI"
"-","6d7cdf99-b925-4721-85e6-a7f4e660cd91","ScheduledActivityInstance_23","ScheduledActivityInstance","WK24","Week 24"
"-","1983fd0e-0737-4f3d-bde0-ac892d183c71","ScheduledActivityInstance_24","ScheduledActivityInstance","WK26","Week 26"
"-","cb114d8b-0725-4acd-b1d4-b093d60b5185","ScheduledActivityInstance_1","ScheduledActivityInstance","AE","Adevers Event"
"-","532850b6-db7e-483b-b078-33a1e6b8c48f","ScheduledActivityInstance_2","ScheduledActivityInstance","ET","Early Termination"
"","ce15a5df-378b-47bd-9e26-8fe45b9ab031","ScheduledActivityInstance_3","ScheduledActivityInstance","VS_5MIN","5 minute supine"
"","ddd9c57b-3c52-47e9-b95b-e706b5736977","ScheduledActivityInstance_4","ScheduledActivityInstance","VS_SUPINE","Vital signs supine"
"","4100e827-69c0-4e43-9bd8-922fca154351","ScheduledActivityInstance_5","ScheduledActivityInstance","VS_1MIN","1 minute standing"
"","093eb61e-3da1-40b1-854c-4aebfd4ed01d","ScheduledActivityInstance_6","ScheduledActivityInstance","VS_STAND1","Vital signs after 1 min standing"
"","db8cc6b5-7030-4628-a427-046d596e65f6","ScheduledActivityInstance_7","ScheduledActivityInstance","VS_2MIN","2 minute standing"
"","e79a36d8-4939-4101-82ce-eefd2970540c","ScheduledActivityInstance_8","ScheduledActivityInstance","VS_STAND3","Vital signs after 3 min standing"
