"name","id","datatype","instanceType","label","uuid:ID","isRequired","isEnabled"
"Vital Signs Result","BiomedicalConceptProperty_98","decimal","BiomedicalConceptProperty","Vital Signs Result","ef99265e-9b6b-4510-9a3c-d475d22bec65","True","True"
"Unit of Temperature","BiomedicalConceptProperty_99","string","BiomedicalConceptProperty","Unit of Temperature","2766b695-e36d-4d42-b5ca-7c08603e1f93","True","True"
"Vital Signs Location","BiomedicalConceptProperty_100","string","BiomedicalConceptProperty","Vital Signs Location","502ac8a1-d41f-4d32-a015-81b18ca7b46f","True","True"
"Vital Signs Result","BiomedicalConceptProperty_101","decimal","BiomedicalConceptProperty","Vital Signs Result","d9538fd9-7600-4794-aa0d-380e81387c3e","True","True"
"Unit of Weight","BiomedicalConceptProperty_102","string","BiomedicalConceptProperty","Unit of Weight","0c1c94c2-5f65-4364-a739-46a36636ab04","True","True"
"Vital Signs Result","BiomedicalConceptProperty_103","decimal","BiomedicalConceptProperty","Vital Signs Result","df59c5df-f8a5-4857-b83d-3b8e401b7954","True","True"
"Unit of Height","BiomedicalConceptProperty_104","string","BiomedicalConceptProperty","Unit of Height","5228544e-98ca-4d8a-8af0-3f0e74d72480","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_105","decimal","BiomedicalConceptProperty","Laboratory Test Result","82cbc275-11bd-4600-a499-038c7896b630","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_106","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","112eb6ae-2784-4ae8-993e-ccea642a098e","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","9f472f84-5b67-4ca2-93f7-4b6c4b4616f1","True","True"
"Biospecimen Type","BiomedicalConceptProperty_108","string","BiomedicalConceptProperty","Biospecimen Type","38b606fc-f94c-4db0-98d6-45f9ac17e001","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_109","string","BiomedicalConceptProperty","Laboratory Test Result","874bc928-524a-4343-8ec9-5712d1b9db05","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_110","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","f5b3cb48-f960-4872-8c02-2fad2bfb63c2","True","True"
"Unit of Concentration","BiomedicalConceptProperty_111","string","BiomedicalConceptProperty","Unit of Concentration","76266f49-7513-44b6-a8ac-c3232f55b44d","True","True"
"Biospecimen Type","BiomedicalConceptProperty_112","string","BiomedicalConceptProperty","Biospecimen Type","833d04cc-d4f1-4806-8d08-2e7af32cb208","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_113","decimal","BiomedicalConceptProperty","Laboratory Test Result","5fcf28e6-db6e-448e-b0cf-7c1cb9150a2f","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_114","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","521416c6-275a-4696-bde8-646f56c61738","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","46cb9036-1154-44ff-8349-17b4f17907b1","True","True"
"Biospecimen Type","BiomedicalConceptProperty_116","string","BiomedicalConceptProperty","Biospecimen Type","c6a71724-43bf-4b4a-af1c-4fda87c5d039","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_117","decimal","BiomedicalConceptProperty","Laboratory Test Result","2570ebe8-94f8-460d-becd-f084369fd7b1","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_118","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","b01c5fdc-0692-4cfd-92cc-9f4133e2cc49","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","6d27b927-5698-42f6-abdc-eb9c79abc8a0","True","True"
"Biospecimen Type","BiomedicalConceptProperty_120","string","BiomedicalConceptProperty","Biospecimen Type","e99f6ec5-103f-423f-aef3-4277e6e0f319","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_121","string","BiomedicalConceptProperty","Laboratory Test Result","7a49bfac-9f21-478f-91ab-a6dfde8dae88","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_122","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","232470c2-fd60-4cd5-9ce7-9c5338e4694e","True","True"
"Unit of Concentration","BiomedicalConceptProperty_123","string","BiomedicalConceptProperty","Unit of Concentration","4e29026f-1c22-467a-aaa9-0e8978dddbca","True","True"
"Biospecimen Type","BiomedicalConceptProperty_124","string","BiomedicalConceptProperty","Biospecimen Type","06e5b443-aea8-4947-907c-8b80ba72020f","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_125","decimal","BiomedicalConceptProperty","Laboratory Test Result","220b99ba-c408-4ad3-9a2e-6bbbbf531586","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_126","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","63796c14-95aa-4f4f-9809-91f91091abee","True","True"
"Molarity Unit","BiomedicalConceptProperty_127","string","BiomedicalConceptProperty","Molarity Unit","b7e2fb41-f04a-4ba5-bdb8-7ba222b1ad4f","True","True"
"Biospecimen Type","BiomedicalConceptProperty_128","string","BiomedicalConceptProperty","Biospecimen Type","e23e5387-e003-4135-b3d9-65effa3d6035","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_129","decimal","BiomedicalConceptProperty","Laboratory Test Result","bd60f0ca-dee4-443b-8b6e-37c93dcd9c8b","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_130","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","9f5e2624-7bb2-4511-867f-20be0ea6b43d","True","True"
"Molarity Unit","BiomedicalConceptProperty_131","string","BiomedicalConceptProperty","Molarity Unit","383c7d8f-9da0-415b-b801-3c94307a0c88","True","True"
"Biospecimen Type","BiomedicalConceptProperty_132","string","BiomedicalConceptProperty","Biospecimen Type","7024781b-f7c9-4ede-a952-d18e2ebd44f8","True","True"
"Adverse Event Verbatim Description","BiomedicalConceptProperty_1","string","BiomedicalConceptProperty","Adverse Event Verbatim Description","276fdb71-792b-481b-be29-9cba5fffd00b","True","True"
"Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","string","BiomedicalConceptProperty","Adverse Event Dictionary Derived Term","c1715890-3602-49b0-bb33-a5dcb0cb53fd","True","True"
"Adverse Event Category","BiomedicalConceptProperty_3","string","BiomedicalConceptProperty","Adverse Event Category","0267f3db-a113-4fe9-9667-5851d71217ab","True","True"
"Adverse Event Subcategory","BiomedicalConceptProperty_4","string","BiomedicalConceptProperty","Adverse Event Subcategory","eece3b04-57c6-416a-9b46-4af06b40b294","True","True"
"Adverse Event Pre-specified","BiomedicalConceptProperty_5","boolean","BiomedicalConceptProperty","Adverse Event Pre-specified","00fedb45-d7e8-421f-a76c-8b25e8440150","True","True"
"Severity of Adverse Event","BiomedicalConceptProperty_6","string","BiomedicalConceptProperty","Severity of Adverse Event","7ad2e907-8188-4208-9c12-e1526495f76a","True","True"
"Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","string","BiomedicalConceptProperty","Adverse Event Toxicity Grade","8640fd43-1ed4-469c-8884-1c0189170371","True","True"
"Seriousness of Adverse Event","BiomedicalConceptProperty_8","boolean","BiomedicalConceptProperty","Seriousness of Adverse Event","49989173-b1ac-4d9f-a15d-1b1e8f0bc97a","True","True"
"Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","string","BiomedicalConceptProperty","Adverse Event Action Taken with Study Treatment","a5e6cd2b-8fb6-4903-8b05-cd12c2d231f6","True","True"
"Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","string","BiomedicalConceptProperty","Adverse Event Attribution to Product or Procedure","7ba064b0-22e3-405d-9734-f6d27b5ab659","True","True"
"Adverse Event Pattern","BiomedicalConceptProperty_11","string","BiomedicalConceptProperty","Adverse Event Pattern","7e3e27e5-0092-4d3b-9449-59667e4f9aa9","True","True"
"Adverse Event Outcome","BiomedicalConceptProperty_12","string","BiomedicalConceptProperty","Adverse Event Outcome","8e4c3ffa-f8e1-4ad8-ad5b-080a4892d96c","True","True"
"Adverse Event Start Date Time","BiomedicalConceptProperty_13","datetime","BiomedicalConceptProperty","Adverse Event Start Date Time","e707841d-8da2-4bbe-ad20-3ae9a6c0c1bd","True","True"
"Adverse Event End Date Time","BiomedicalConceptProperty_14","datetime","BiomedicalConceptProperty","Adverse Event End Date Time","d580ecd2-d1fb-437d-af22-a4cba76e0ce9","True","True"
"Vital Signs Result","BiomedicalConceptProperty_15","decimal","BiomedicalConceptProperty","Vital Signs Result","86566a0f-5b20-4f1a-9899-17a36f3823d3","True","True"
"Unit of Pressure","BiomedicalConceptProperty_16","string","BiomedicalConceptProperty","Unit of Pressure","b0ae1d80-f338-4fb5-97cd-db1259e6a086","True","True"
"Vital Signs Location","BiomedicalConceptProperty_17","string","BiomedicalConceptProperty","Vital Signs Location","0ad44d48-49b8-4fc4-be7a-5cda8df9042a","True","True"
"Vital Signs Laterality","BiomedicalConceptProperty_18","string","BiomedicalConceptProperty","Vital Signs Laterality","3c7a7aa8-4c0f-480a-88d7-6c9ab865da37","True","True"
