"uuid:ID","instanceType","id"
"c7e4cc32-460c-4910-b090-a0ca4e70668f","StudyCell","StudyCell_1"
"6927fce5-9d24-470b-a90d-2f88f444b0fb","StudyCell","StudyCell_2"
"341a171d-872d-4b0d-8c1d-4b172c088602","StudyCell","StudyCell_3"
"4acb50b4-0036-4569-8603-d6292430c7a3","StudyCell","StudyCell_4"
"8c71228e-93f8-4ffa-9f2c-6147397a52f5","StudyCell","StudyCell_5"
"7e8ad8d0-ce6e-4d91-a5cf-6d0d2b6b12a2","StudyCell","StudyCell_6"
"aaf2c1ec-5748-4aea-bffa-8e8e522b69ef","StudyCell","StudyCell_7"
"f24131f7-54e0-4c6a-9ab7-50672e53cc5c","StudyCell","StudyCell_8"
"f73e506b-0ec5-4855-8387-42957a1eb2b6","StudyCell","StudyCell_9"
"7b7bbb89-cfc9-4658-bcef-1c0b32ce9e7a","StudyCell","StudyCell_10"
"fa0516a4-89af-4663-990c-747abe4c6a29","StudyCell","StudyCell_11"
"5ac22e21-a492-403b-ad90-c9138aa05f4d","StudyCell","StudyCell_12"
"b9fa0b35-0ace-4aff-b520-717cb4e7b629","StudyCell","StudyCell_13"
"cb11d993-a959-4395-8381-e709fb4abead","StudyCell","StudyCell_14"
"6fdca388-1c6a-45ec-bd66-3544017b10d9","StudyCell","StudyCell_15"
