"label","name","synonyms","reference","uuid:ID","id","instanceType"
"Informed Consent Obtained","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","5534f782-b88e-40e4-bd51-b3c1f404dc03","BiomedicalConcept_20","BiomedicalConcept"
"Sex","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","c9860f4c-c926-446b-97a1-75baaa0d5978","BiomedicalConcept_21","BiomedicalConcept"
"Race","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","eb7571b0-d1ac-4b56-a84e-35f793d272b1","BiomedicalConcept_22","BiomedicalConcept"
"Temperature","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","7825884f-6d85-4144-9308-2da37b8b1e2c","BiomedicalConcept_23","BiomedicalConcept"
"Weight","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","c708499a-1aee-4e6f-bda1-f9244a29de35","BiomedicalConcept_24","BiomedicalConcept"
"Height","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","6d2e08ac-a1ad-4536-94c4-16cb4c022606","BiomedicalConcept_25","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","0a6e3c1e-0e33-49b7-85ff-f43a6ddb4fe2","BiomedicalConcept_26","BiomedicalConcept"
"Albumin Presence in Urine","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","da5834d3-79bf-4380-a706-983982c8880a","BiomedicalConcept_27","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","518f47a1-e47f-4a37-b38e-8977a9a06483","BiomedicalConcept_28","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","2490756e-ad21-400b-8ff5-63d0844cac90","BiomedicalConcept_29","BiomedicalConcept"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","073dc57f-b3f2-4fcf-8e00-0cc276bc39fb","BiomedicalConcept_30","BiomedicalConcept"
"Potassium Concentration in Urine","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","e3ab6e83-bcdd-404d-849b-ce227fc26f19","BiomedicalConcept_31","BiomedicalConcept"
"Sodium Concentration in Urine","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","8823e134-e983-4448-b00c-9e2dffceed60","BiomedicalConcept_32","BiomedicalConcept"
"Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","ff7ee8dd-fde4-45fd-8616-09f13ef5a7bc","BiomedicalConcept_33","BiomedicalConcept"
"Adverse Event Prespecified","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","be49b6df-47f4-49df-8599-de3c4048d2d1","BiomedicalConcept_1","BiomedicalConcept"
