"name","uuid:ID","isRequired","label","id","instanceType","datatype","isEnabled"
"Vital Signs Result","f04342f4-a846-4b73-86a9-2a9bf454daa1","True","Vital Signs Result","BiomedicalConceptProperty_98","BiomedicalConceptProperty","decimal","True"
"Unit of Temperature","111e7efd-0fa2-4297-a14b-7b9899885d5c","True","Unit of Temperature","BiomedicalConceptProperty_99","BiomedicalConceptProperty","string","True"
"Vital Signs Location","f0e2a11d-f993-4e39-be0b-0918efee8c3b","True","Vital Signs Location","BiomedicalConceptProperty_100","BiomedicalConceptProperty","string","True"
"Vital Signs Result","ed45cdcb-434d-4108-9ce7-f86417453310","True","Vital Signs Result","BiomedicalConceptProperty_101","BiomedicalConceptProperty","decimal","True"
"Unit of Weight","d36c76b1-5dee-48bb-997c-c76c17baa645","True","Unit of Weight","BiomedicalConceptProperty_102","BiomedicalConceptProperty","string","True"
"Vital Signs Result","89d03b01-ed04-46b4-abbd-b07a04063602","True","Vital Signs Result","BiomedicalConceptProperty_103","BiomedicalConceptProperty","decimal","True"
"Unit of Height","2615703f-24cd-41cb-8f2d-ff7dc7efcce9","True","Unit of Height","BiomedicalConceptProperty_104","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","42b5f81a-b845-43fc-b79c-bb625e34832e","True","Laboratory Test Result","BiomedicalConceptProperty_105","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","a252799c-878c-4478-ac7b-fa105da66508","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","c5ccda3f-b2a1-4d9a-a3f6-0aee9fcfaf2b","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","BiomedicalConceptProperty","string","True"
"Biospecimen Type","693d40bd-12a6-4b9e-a7ac-fca7291a34ce","True","Biospecimen Type","BiomedicalConceptProperty_108","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","87265826-af37-42cc-91ff-bc3b9d6b2f98","True","Laboratory Test Result","BiomedicalConceptProperty_109","BiomedicalConceptProperty","string","True"
"Laboratory Test Fasting Status","0868dc90-e153-42ef-8e64-a1a8a2279ff1","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","BiomedicalConceptProperty","boolean","True"
"Unit of Concentration","087fb7e9-3f75-4a9b-941a-058b1f5a9f1a","True","Unit of Concentration","BiomedicalConceptProperty_111","BiomedicalConceptProperty","string","True"
"Biospecimen Type","e518c09c-2b09-42fa-8839-a7da49982966","True","Biospecimen Type","BiomedicalConceptProperty_112","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","a56008d7-40c5-480d-9d74-ccc0261b8e61","True","Laboratory Test Result","BiomedicalConceptProperty_113","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","fbd566e7-57bf-4c9a-b7b5-97973a68e9cb","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","5ffa1d48-b416-488d-900b-4b8fce7e368d","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","BiomedicalConceptProperty","string","True"
"Biospecimen Type","22069f68-084a-4020-aade-77af0b8756d4","True","Biospecimen Type","BiomedicalConceptProperty_116","BiomedicalConceptProperty","string","True"
