"windowLower","value","description","id","label","valueLabel","windowLabel","name","instanceType","uuid:ID","windowUpper"
"P0D","P28D","Screening visit timing","Timing_1","-28 Days","28 Days","0..26 Days","TIMING_1","Timing","dd8589c1-e51e-4394-9a40-d3caa173a44a","P26D"
"","P1D","Period 1, Day Minus 1 timing","Timing_2","-1 Day","1 Day","","TIMING_2","Timing","bf130f76-6bb0-4859-92c0-ebf097a739a5",""
"","PT0M","Period 1, Radomisation timing","Timing_3","Radomisation","0 mins","","TIMING_3","Timing","49770e1e-b4c5-4c71-809b-b81af659afa2",""
"","PT0M","Period 1, Pre infusion timing","Timing_4","Pre infusion","0 mins","","TIMING_4","Timing","ad854090-6007-4232-8b81-7cac133139e4",""
"","PT0M","Period 1, Infusion timing","Timing_5","Infusion","0 mins","","TIMING_5","Timing","4f3ed6ed-0520-445a-b818-c91eb23f4607",""
"","P1D","Period 1, Treatment anchor","Timing_6","Day 1","1 Day","","TIMING_6","Timing","b8e1d586-5a13-4289-93f3-1c187ef2f4cd",""
"","PT0M","Period 1, Discharge timing","Timing_7","Discharge","0 mins","","TIMING_7","Timing","30fee6e1-c5f5-495d-90eb-f96aad24a294",""
"P0D","P3D","Washout timing","Timing_8","Washout","3 Days","0.. 11 Days","TIMING_8","Timing","3195fd15-bb95-4352-a71f-06b9fb7ce846","P11D"
"","P0D","Period 2, Day Minus 1 timing","Timing_9","-1 Day","0 days","","TIMING_9","Timing","98a4c6c8-c229-4300-af73-be41c259f175",""
"","P1D","Period 2, Pre infusion timing","Timing_10","Pre infusion","1 Day","","TIMING_10","Timing","ef0f5270-03ac-490c-b0d3-c826ebaefc3b",""
"","PT0M","Period 2, Infusion timing","Timing_11","Infusion","0 mins","","TIMING_11","Timing","6c1921b2-d650-4637-88fa-907d1492e45f",""
"","PT0M","Period 2, Treatment anchor","Timing_12","Day 1","0 mins","","TIMING_12","Timing","0969362e-6601-4eed-909a-51c442af95e8",""
"","PT0M","Period 2, Discharge timing","Timing_13","Discharge","0 mins","","TIMING_13","Timing","5a514cec-f7ce-440b-92d3-309a93a24c00",""
"P2D","P28D","Follow Up timing","Timing_14","Follow up","28 Days","2..2 Days","TIMING_14","Timing","cd89190c-a0b6-48ba-99b1-0f08e1de955f","P2D"
"","P1D","Additional Follow Up timing","Timing_15","Additional Follow Up","1 Day","","TIMING_15","Timing","3fd49777-426a-47f7-9e1d-87bfe62a98cd",""
"","PT0M","Pre Hypoglycemia Induction timing","Timing_31","Pre Hypoglycemia Induction","0 mins","","TIMING_31","Timing","75147ee8-adac-4bdf-a34e-bf7cb8759917",""
"","PT30M","30 min before timing","Timing_32","30 min before","30 mins","","TIMING_32","Timing","b098fdba-ade5-43a7-97a2-9f388195974b",""
"","PT15M","15 min before timing","Timing_33","15 min before","15 mins","","TIMING_33","Timing","da7d37c2-214f-4d67-ade8-0c923307d836",""
"","PT0M","Hypoglycemia Induction timing","Timing_34","Hypoglycemia Induction","0 mins","","TIMING_34","Timing","305f93ce-17d2-4121-8ec0-e5ebeb2f912d",""
"","PT0M","Hypoglycemia Induction complete timing","Timing_35","Hypoglycemia Induction finished","0 mins","","TIMING_36","Timing","3d830d85-b52d-41c9-98ff-85416fff85b4",""
"","PT0M","Pre Dose timing","Timing_16","Pre Dose","0 mins","","TIMING_16","Timing","9c6b7ef2-07c4-462a-8e94-d595558912b3",""
"","PT0M","Dose Timing","Timing_17","Dose","0 mins","","TIMING_17","Timing","04c77272-85c5-486c-a640-f3cf1bcd5d6d",""
"","PT5M","5 min","Timing_18","5 min","5 min","","TIMING_18","Timing","53334b55-aa98-4646-b123-0c8f549746f4",""
"","PT10M","10 min","Timing_19","10 min","10 min","","TIMING_19","Timing","8e604fc0-1e41-42bd-8ba9-6a30637e2619",""
"","PT15M","15 min","Timing_20","15 min","15 min","","TIMING_20","Timing","8e77223f-801b-4891-8214-a327fc8250af",""
"","PT20M","20 min","Timing_21","20 min","20 min","","TIMING_21","Timing","ddc9e959-5a24-4fe1-9fc8-3adb02cf6651",""
"","PT25M","25 min","Timing_22","25 min","25 min","","TIMING_22","Timing","f9b6aa22-b5cb-4e68-ba1a-1ca9fc56cc79",""
"","PT30M","30 min","Timing_23","30 min","30 min","","TIMING_23","Timing","ed992033-e168-428c-a14e-6962da80bc00",""
"","PT40M","40 min","Timing_24","40 min","40 min","","TIMING_24","Timing","5bb7e957-f37c-4867-8078-3e0b57e793cb",""
"","PT50M","50min","Timing_25","50min","50min","","TIMING_25","Timing","ffe22493-7b3e-4cee-8bb7-5c6c7e7b44d8",""
"","PT60M","60min","Timing_26","60min","60min","","TIMING_26","Timing","30e88bbe-0353-4d90-a145-8fbeeb0e7171",""
"","PT90M","90 min","Timing_27","90 min","90 min","","TIMING_27","Timing","c7ebfbf1-ec67-4867-b450-e72b5e4f8ff8",""
"","PT120M","120 min","Timing_28","120 min","120 min","","TIMING_28","Timing","6ca04d24-1b76-499c-bb98-e5191aee9b49",""
"","PT240M","240 min","Timing_29","240 min","240 min","","TIMING_29","Timing","82453154-6c0f-424d-b85c-aad7f642ce7d",""
"","PT0M","Meal Timing","Timing_30","Meal","0 mins","","TIMING_30","Timing","c9e448cf-341c-43f3-b3ec-26af51a4fe8d",""
