"windowLabel","windowLower","uuid:ID","name","windowUpper","instanceType","value","id","valueLabel","description","label"
"","","2fe69a2a-95fa-404d-a440-8025eaa2ac59","TIM1","","Timing","P2W","Timing_1","2 weeks","Screening timing","Screening"
"-4..0 hours","PT4H","cc158bdf-5a2b-4855-8f55-3c354388314c","TIM2","PT0H","Timing","P2D","Timing_2","2 days","Pre dose timing","Pre dose"
"","","57349f12-c9d7-4b4e-b194-8254fe3624ac","TIM3","","Timing","P1D","Timing_3","1 Day","Dosing anchor","Dosing"
"-3..3 days","P3D","b4b961e8-e3b3-4925-9af9-2f02063b8140","TIM4","P3D","Timing","P2W","Timing_4","2 Weeks","Week 2 timing","Week 2"
"-3..3 days","P3D","f991cb2d-2b97-4d6e-b21e-a63077349067","TIM5","P3D","Timing","P4W","Timing_5","4 Weeks","Week 4 timing","Week 4"
"-3..3 days","P3D","a0fc8142-a451-469f-91a0-fb28085e626f","TIM6","P3D","Timing","P6W","Timing_6","6 Weeks","Week 6 timing","Week 6"
"-3..3 days","P3D","dc3e6aea-5940-48b4-9ed9-c8ddcc4caf93","TIM7","P3D","Timing","P8W","Timing_7","8 Weeks","Week 8 timing","Week 8"
"-4..4 days","P4D","e2b1dcfd-8511-4348-aa1a-1b2d92250f74","TIM9","P4D","Timing","P12W","Timing_9","12 Weeks","Week 12 timing","Week 12"
"-4..4 days","P4D","1797decb-a94c-4329-a876-3cb334245323","TIM11","P4D","Timing","P16W","Timing_11","16 Weeks","Week 16 timing","Week 16"
"-4..4 days","P4D","95ab0378-e81f-49a9-9d68-e2886fe58d01","TIM13","P4D","Timing","P20W","Timing_13","20 Weeks","Week 20 timing","Week 20"
"-4..4 days","P4D","fdb5d841-4583-4091-bf9f-9a0ea7d2783e","TIM15","P4D","Timing","P24W","Timing_15","24 Weeks","Week 24 timing","Week 24"
"-3..3 days","P3D","3dd5ddb1-1af3-4b31-9740-254cf781f85e","TIM16","P3D","Timing","P26W","Timing_16","26 Weeks","Week 26 timing","Week 26"
"","","9d9c4eb6-f1aa-46b3-8d90-5347ec795589","TIM8","","Timing","P2W","Timing_8","2 Weeks","Week 8 at home timing","Week 8 Home"
"","","b0d46cf0-1eca-4cfb-a245-2d2c9d147c3c","TIM10","","Timing","P2W","Timing_10","2 Weeks","Week 12 at home timing","Week 12 Home"
"","","bf8a0993-3a72-4e26-8f66-0680e00a10df","TIM12","","Timing","P2W","Timing_12","2 Weeks","Week 16 at home timing","Week 16 Home"
"","","ab110d0f-58c5-48f6-9ad1-9766119624e8","TIM14","","Timing","P2W","Timing_14","2 Weeks","Week 20 at home timing","Week 20 Home"
"","","0426789f-2412-4491-9fee-611af61a8c4d","TIM17","","Timing","P1D","Timing_17","1 Day","Adverse Event","Adverse Event"
"","","6f04d6a7-61cf-4a31-b8e7-6024a9b491e8","TIM18","","Timing","P1D","Timing_18","1 Day","Early Termination","Early Termination"
"","","9a11d7b5-80ca-4387-b284-a5b03d95597e","TIM19","","Timing","PT0M","Timing_19","0 mins","Supine","Supine"
"","","a67e5e59-69c9-40c6-974f-57f32a2af9a6","TIM20","","Timing","PT5M","Timing_20","5 mins","VS while supine","VS while supine"
"","","d8dd8c9f-b80d-46ff-8544-931e8ba05770","TIM21","","Timing","PT0M","Timing_21","0 min","Standing","Standing"
"","","cb98d38f-9008-4e97-abdb-48ee8a09961c","TIM22","","Timing","PT1M","Timing_22","1 min","VS while standing","VS while standing"
"","","db77a3ec-c7d6-4fda-88ff-f521b03bc2d0","TIM23","","Timing","PT0M","Timing_23","0 min","Standing","Standing"
"","","7658cc3f-0fb0-42cd-a454-09aab472e6ad","TIM24","","Timing","PT2M","Timing_24","2 min","VS while standing","VS while standing"
