"id","label","reference","instanceType","name","synonyms","uuid:ID"
"BiomedicalConcept_20","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature","['Temperature']","ec931a71-4544-4000-a3e1-510d038267af"
"BiomedicalConcept_21","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight","['Weight']","50a7fb20-d9d2-4cd3-a4ab-ece46a8b694a"
"BiomedicalConcept_22","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height","['Height']","fa68793d-c237-4b9d-9708-c04e6d269f5d"
"BiomedicalConcept_23","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","75ef8c8c-df6d-4543-ace4-ba8acd4b8fec"
"BiomedicalConcept_24","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement","['Albumin']","2bfdb418-ae07-4901-a2a6-f6607eb7cfe8"
"BiomedicalConcept_25","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","0e7b38d2-9fd4-4f14-80ec-5a3b807762e4"
"BiomedicalConcept_26","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","9996d1d4-3fe3-4186-8af7-5b1ab220d9a1"
"BiomedicalConcept_27","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement","['Creatinine']","e8729a37-bf12-496b-90ab-b590b6570237"
"BiomedicalConcept_28","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","5af40171-5c59-468b-8c32-f55057b07ce3"
"BiomedicalConcept_29","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","c1bc6599-b085-47f4-8072-28bdcc391ec3"
"BiomedicalConcept_1","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","Adverse Event","['Adverse Event Reported Term', 'AETERM']","c80f1659-b520-4136-b124-5180d27270ec"
"BiomedicalConcept_2","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","c4413c4f-51a5-41db-8ce2-ce4d88656f92"
"BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","3484c2dc-c3a8-4d90-8fe4-a873b2cf3de2"
"BiomedicalConcept_4","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature","['Temperature']","12b6015b-543f-437d-85d8-c58b430c625b"
