"instanceType","uuid:ID","id","datatype","isRequired","isEnabled","name","label"
"BiomedicalConceptProperty","4f5b3ea8-ae6f-4bf4-a406-0ff822499106","BiomedicalConceptProperty_98","decimal","True","True","Vital Signs Result","Vital Signs Result"
"BiomedicalConceptProperty","0d466bcb-2ca5-4b18-8342-3cadd14f848c","BiomedicalConceptProperty_99","string","True","True","Unit of Temperature","Unit of Temperature"
"BiomedicalConceptProperty","c8bf32de-2cc5-4def-8b91-19e7af78485b","BiomedicalConceptProperty_100","string","True","True","Vital Signs Location","Vital Signs Location"
"BiomedicalConceptProperty","e63ffeca-85c1-4d69-b4d7-1ce06be80302","BiomedicalConceptProperty_101","decimal","True","True","Vital Signs Result","Vital Signs Result"
"BiomedicalConceptProperty","e24e35c7-fb9f-4ec2-b080-c910589bf07a","BiomedicalConceptProperty_102","string","True","True","Unit of Weight","Unit of Weight"
"BiomedicalConceptProperty","a4478108-0036-46c0-87ff-949f6a8b0cbf","BiomedicalConceptProperty_103","decimal","True","True","Vital Signs Result","Vital Signs Result"
"BiomedicalConceptProperty","2dbe24e6-f9a6-4c71-bbf6-8953f7db4562","BiomedicalConceptProperty_104","string","True","True","Unit of Height","Unit of Height"
"BiomedicalConceptProperty","dc383bfc-9891-4f95-8120-672ca5bc0e39","BiomedicalConceptProperty_105","decimal","True","True","Laboratory Test Result","Laboratory Test Result"
"BiomedicalConceptProperty","2ddbc233-b8c9-41d0-97e7-0443f10c1d1b","BiomedicalConceptProperty_106","boolean","True","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","71c7c915-aed2-4a57-88a2-2fec03159d6c","BiomedicalConceptProperty_107","string","True","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","39eb9cea-2b54-41be-9c02-04389a13ee60","BiomedicalConceptProperty_108","string","True","True","Biospecimen Type","Biospecimen Type"
"BiomedicalConceptProperty","af3cf030-3175-4146-8df0-f15ca1d7fd34","BiomedicalConceptProperty_109","string","True","True","Laboratory Test Result","Laboratory Test Result"
"BiomedicalConceptProperty","0e0399f1-54c4-4262-943c-d392e621ca08","BiomedicalConceptProperty_110","boolean","True","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","516491d0-a9f5-4012-8200-11f29114049b","BiomedicalConceptProperty_111","string","True","True","Unit of Concentration","Unit of Concentration"
"BiomedicalConceptProperty","98f7416a-6f62-49e0-bce4-0877f5cf3cd2","BiomedicalConceptProperty_112","string","True","True","Biospecimen Type","Biospecimen Type"
"BiomedicalConceptProperty","f3b428f0-6bb6-4d04-bd79-78a5d768e827","BiomedicalConceptProperty_113","decimal","True","True","Laboratory Test Result","Laboratory Test Result"
"BiomedicalConceptProperty","570e99a4-755b-4440-a167-7869adaf3547","BiomedicalConceptProperty_114","boolean","True","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","7044be30-fbe4-4bc9-b4c5-6ce35fea78b1","BiomedicalConceptProperty_115","string","True","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","55452712-9ef7-472e-871e-31b174058f5d","BiomedicalConceptProperty_116","string","True","True","Biospecimen Type","Biospecimen Type"
"BiomedicalConceptProperty","feb412f1-c648-4d04-953c-17b59859359c","BiomedicalConceptProperty_117","decimal","True","True","Laboratory Test Result","Laboratory Test Result"
"BiomedicalConceptProperty","b51c93a0-b77a-42a0-9719-3e7e74287092","BiomedicalConceptProperty_118","boolean","True","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","64a5dbe4-6b21-4637-bbd4-7ed64792ca0a","BiomedicalConceptProperty_119","string","True","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
