"uuid:ID","instanceType","name","id","text"
"eb736155-d259-46b5-9754-19fedc4e609a","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier"
"5cf6d23c-982d-4d61-9dea-aa26ebc8fa00","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities"
"e2fd6e67-cfd5-4114-8722-d633b0499132","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"386c45eb-c0ca-4d46-a1a2-6f667ce35aad","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"a015c02b-fae2-4602-a6cd-5387c14a608a","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized"
"895be7cf-6f59-4677-84af-95b54ad6d616","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment"
"2582aab6-5fe0-412e-80ee-5011cfd8514a","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent"
"7b264bcf-8bec-4d23-b46a-73d75bb65085","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"9dc650cd-2a56-45f3-99e2-741eb45c1adc","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose"
"bbd412d0-939d-41c8-9c0a-dd1cb65bd501","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"84dbcb38-9fb7-438a-b1a8-30f280799337","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"0d6b97fa-a739-4b59-a690-e16ac37d50be","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose"
"de400f92-baeb-4c7c-bd50-daaa39666750","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","Randomized"
"6a01fb02-2a47-458c-bc47-72b9ffe05327","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"9c05a36b-13f0-4394-a8d2-27cf486f61f8","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
