"id","name","label","datatype","isEnabled","uuid:ID","instanceType","isRequired"
"BiomedicalConceptProperty_116","DSDECOD","DSDECOD","text","True","250d4343-5155-43fa-b412-50f30115635b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_117","DSTERM","DSTERM","text","True","bd7ee380-e490-4584-b32b-fa98b6992eef","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_118","DSSTDTC","DSSTDTC","datetime","True","7bdf648d-c5e3-471c-b819-610551bf1f7e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_119","Sex","Sex","string","True","e29ebff3-548c-4b36-a26b-145ca037f28c","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_120","Race","Race","string","True","c283c32f-9f69-432e-bcb4-68b45639a889","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_121","VSTESTCD","VSTESTCD","","True","d343b29d-2268-47f1-94f4-a9d64d3e892d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_122","VSORRES","VSORRES","float","True","cb1fc80c-e22f-4073-ae67-53891f6dc526","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_123","VSORRESU","VSORRESU","","True","1d94befe-baab-4a74-b67b-e3bb97af6c54","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_124","VSLOC","VSLOC","","True","a24515ea-effd-419b-a20c-8ae289943dea","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_125","VSTESTCD","VSTESTCD","","True","75bc8697-1ddd-498b-b093-4fa8913d56d0","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_126","VSORRES","VSORRES","float","True","1a849ba9-af9d-4f3c-b610-b3b7cf1a3728","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_127","VSORRESU","VSORRESU","","True","3b5a1c08-31a1-4681-88e0-b3f073f9b736","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_128","VSTESTCD","VSTESTCD","","True","3dbdebf4-5a3f-4227-8abb-654fdfb53531","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_129","VSORRES","VSORRES","float","True","08c7022c-70f0-4b80-a433-272978f7c8d4","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_130","VSORRESU","VSORRESU","","True","9dd8c796-b368-442c-bfe2-4689fd2205fd","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_131","LBTESTCD","LBTESTCD","","True","26223efe-8fa6-4376-93e3-b08580d316f1","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_132","LBORRES","LBORRES","float","True","1f25a53d-2e10-4192-a292-ea5fcee746a5","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_133","LBORRESU","LBORRESU","","True","9a240ba0-18d0-43cc-b213-ddffc8b19ee8","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_134","LBSPEC","LBSPEC","","True","e683b1dd-3dbf-4da2-a1ed-ca60f4dabefe","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_135","LBFAST","LBFAST","","True","c5263403-a36e-42d1-b747-a833e90b475c","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_136","LBTESTCD","LBTESTCD","","True","fb303274-9f05-4ef7-a34b-90b812bb86b7","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_137","LBORRES","LBORRES","text","True","6913e4f4-d670-46a2-bf0e-a1e9499c04fa","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_138","LBSPEC","LBSPEC","","True","d76fc80b-dd0b-453d-ae92-b47c6bbd7244","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_139","LBFAST","LBFAST","","True","7f2c2291-e0db-4dec-aec2-f918c6fbd925","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_140","LBTESTCD","LBTESTCD","","True","ce721b35-04db-416c-bdb1-de475c107872","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_141","LBORRES","LBORRES","float","True","bea08387-6138-4f7d-8ba7-f6f6f4f03901","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_142","LBORRESU","LBORRESU","","True","0f1389c3-b497-483c-b0c4-bd6628403840","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_143","LBSPEC","LBSPEC","","True","bdc62d7d-f4f3-486b-bf07-f6d2f1fdfd93","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_144","LBFAST","LBFAST","","True","b5f29fcc-bc34-41f8-9801-ff2fc3a7e898","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_145","LBTESTCD","LBTESTCD","","True","1df0524c-2346-46cf-b887-26bafb47a90b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_146","LBORRES","LBORRES","float","True","9f1eb32c-63c8-408c-8748-0f4896d37f33","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_147","LBORRESU","LBORRESU","","True","65a610c8-96d3-423f-8191-e358797626ec","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_148","LBSPEC","LBSPEC","","True","ab35cbbe-90bc-4087-8693-5b2ee4a14f63","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_149","LBFAST","LBFAST","","True","afe356e7-6995-432f-bf75-38cc5f3610c6","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_150","LBTESTCD","LBTESTCD","","True","25d19aa8-0a46-4e83-ab17-acbcd89d392a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_151","LBORRES","LBORRES","float","True","233fc7bb-59f1-4fc4-9e29-97746770ad28","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_152","LBORRESU","LBORRESU","","True","4dc26f9a-a6be-4b11-84f8-a1fe7adedda6","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_153","LBSPEC","LBSPEC","","True","87fab669-6ee3-440d-a252-254794c8d943","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_154","LBFAST","LBFAST","","True","a41e7e6a-9104-4e5d-b52d-0026e5f387f0","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_155","LBTESTCD","LBTESTCD","","True","146a3acf-bc53-483d-ade8-e02fba048fe8","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_156","LBORRES","LBORRES","float","True","e4b5a5e1-7c71-4540-a3b1-5b64f1ee1e49","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_157","LBORRESU","LBORRESU","","True","89cfeb66-7672-4db0-8170-2e3f3d27d41a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_158","LBSPEC","LBSPEC","","True","2eeef745-3d38-43dc-b226-4eb1e68f39e4","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_159","LBFAST","LBFAST","","True","bba93385-8487-43ab-904a-2cb63deb1c6e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_160","LBTESTCD","LBTESTCD","","True","e2620233-6405-4021-b952-0f4a78deae64","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_161","LBORRES","LBORRES","float","True","6c2275a9-0b4a-4a1d-af71-bb0961a1c758","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_162","LBORRESU","LBORRESU","","True","499b78b2-e559-4d4a-bd83-5464315e4780","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_163","LBSPEC","LBSPEC","","True","ac953128-9a26-465f-99d3-62199696805e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_164","LBFAST","LBFAST","","True","48e95da7-3034-413e-a455-53e6d185857b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_165","LBTESTCD","LBTESTCD","","True","1f9bf155-edc1-48b2-b2ac-90666a7c9919","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_166","LBORRES","LBORRES","float","True","e3ef725e-460b-435b-97ef-732b99798f45","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_167","LBORRESU","LBORRESU","","True","3c6da839-8488-4283-abd7-4fc8ad883acc","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_168","LBSPEC","LBSPEC","","True","bc0c097a-1d47-44ef-a663-feb6c029c81d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_169","LBFAST","LBFAST","","True","ab574cfb-4f32-4bf7-9a8f-ddc16924a084","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_1","AETERM","AETERM","text","True","ca2871ac-a625-4fc4-8280-22ca5bf99c09","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_2","AEDECOD","AEDECOD","text","True","1f836ae2-e87f-425d-8432-4a3cad781de7","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_3","AEPRESP","AEPRESP","text","True","d75f7887-44e5-4d8e-b1f0-88116a71b4d2","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_4","AELOC","AELOC","text","True","c1f2a21c-5525-4975-a939-ad5677c1f701","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_5","AESEV","AESEV","text","True","fbc567a6-fc6b-487e-ac25-b4f9f3acf713","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_6","AESER","AESER","text","True","76754ee6-c679-468e-9a8b-d1d646a4e6cc","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_7","AEACN","AEACN","text","True","d6d716c7-d2ee-420c-86b7-7114dfad52a3","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_8","AEACNOTH","AEACNOTH","text","True","79797cca-0d6c-4f46-bdf4-1830507b221e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_9","AEREL","AEREL","text","True","ba399bcb-81a8-4a4f-a067-7af0ac20412b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_10","AERELNST","AERELNST","text","True","9f1b3857-8b18-4689-bbdb-9263291bef0f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_11","AEPATT","AEPATT","text","True","ed9dcb8e-3709-4302-ba84-59e17d88890e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_12","AEOUT","AEOUT","text","True","55466098-10ba-4493-adcf-aece40b5d033","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_13","AESCAN","AESCAN","text","True","0f282f9d-bc34-48e4-9612-63e2ac251afe","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_14","AESCONG","AESCONG","text","True","6be9d9aa-60d5-46eb-961a-10663ff8a97b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_15","AESDISAB","AESDISAB","text","True","924c523d-b72c-4bb9-9200-339575cf5a77","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_16","AESDTH","AESDTH","text","True","d33fc5e4-cbb6-4e58-870b-793286e6601e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_17","AESHOSP","AESHOSP","text","True","cffaaccc-72e5-445a-b0ff-4e455d0a3dba","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_18","AESLIFE","AESLIFE","text","True","a1337536-c997-4893-aac6-db4e45c7fda7","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_19","AESOD","AESOD","text","True","00829b47-883b-4fdb-8e85-10e61e7b5979","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_20","AESMIE","AESMIE","text","True","999c5827-6281-4409-89c6-503bb52db245","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_21","AECONTRT","AECONTRT","text","True","72bed761-49be-4595-ae83-75c9a01e8819","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_22","AESTDTC","AESTDTC","datetime","True","246aeba4-1042-4fcb-871c-6e00a619355f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_23","AEENDTC","AEENDTC","datetime","True","dcc01700-3ed6-40cd-9a9d-08c79277017c","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_24","VSTESTCD","VSTESTCD","","True","686e02ee-92e0-4438-9edc-7ff3abe283bd","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_25","VSORRES","VSORRES","integer","True","9f6191bd-a2ae-4dea-8390-9fdcc533700e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_26","VSORRESU","VSORRESU","","True","3088d8c7-dec9-4d4c-86c1-fe59bef22244","BiomedicalConceptProperty","True"
